region,E_low_eV,E_high_eV,E_mid_eV,flux_per_source_per_eV
plasma,0.01,0.010739979028076338,0.010363387008153434,0.0
plasma,0.010739979028076338,0.011534714952351949,0.011130255912740663,0.0
plasma,0.011534714952351949,0.012388259668309849,0.011953871507995734,0.0
plasma,0.012388259668309849,0.01330496490320117,0.012838432930019345,0.0
plasma,0.01330496490320117,0.014289504402967222,0.013788450042177238,0.0
plasma,0.014289504402967222,0.015346897760947244,0.014808766428266179,0.0
plasma,0.015346897760947244,0.01648253600986051,0.01590458408712597,0.0
plasma,0.01648253600986051,0.017702209107541493,0.017081489954600956,0.0
plasma,0.017702209107541493,0.01901213545656175,0.018345484388071084,0.0
plasma,0.01901213545656175,0.02041899360824197,0.019703011758778526,0.0
plasma,0.02041899360824197,0.021929956312694357,0.021160993307922284,0.0
plasma,0.021929956312694357,0.023552727088496758,0.022726862434034902,0.0
plasma,0.023552727088496758,0.02529557949844606,0.024408602591551073,0.0
plasma,0.02529557949844606,0.027167399331634846,0.026214787993790827,0.0
plasma,0.027167399331634846,0.029177729906913336,0.028154627327878084,0.0
plasma,0.029177729906913336,0.03133682072871248,0.030238010704471546,0.0
plasma,0.03133682072871248,0.033655679743295995,0.032475560081677214,0.0
plasma,0.033655679743295995,0.03614612946186524,0.03487868342022463,0.0
plasma,0.03614612946186524,0.03882086723665649,0.03745963284601263,0.0
plasma,0.03882086723665649,0.04169352999734265,0.04023156711656151,0.0
plasma,0.04169352999734265,0.044778763777793176,0.04320861870985163,0.0
plasma,0.044778763777793176,0.048092298387668306,0.04640596587759534,0.0
plasma,0.048092298387668306,0.05165102760955468,0.04983991003029999,0.0
plasma,0.05165102760955468,0.055473095330520916,0.05352795884866333,0.0
plasma,0.055473095330520916,0.05957798804722737,0.057488915545037725,0.0
plasma,0.05957798804722737,0.06398663421622047,0.061742974730055675,0.0
plasma,0.06398663421622047,0.06872151095593997,0.06631182537318452,0.0
plasma,0.06872151095593997,0.07380675864445135,0.07121876138214621,0.0
plasma,0.07380675864445135,0.07926830399716994,0.07648880036498233,0.0
plasma,0.07926830399716994,0.08513399225207845,0.08214881118026277,0.0
plasma,0.08513399225207845,0.0914337291363736,0.08822765092574249,0.0
plasma,0.0914337291363736,0.09819963333834643,0.0947563120638914,0.0
plasma,0.09819963333834643,0.10546620026186267,0.10176808043440502,0.0
plasma,0.10546620026186267,0.11327047789833042,0.10929870495930959,0.0
plasma,0.11327047789833042,0.1216522557128253,0.11738657990588881,0.0
plasma,0.1216522557128253,0.13065426750739229,0.12607294063668528,0.0
plasma,0.13065426750739229,0.1403224092958069,0.13540207384459124,0.0
plasma,0.1403224092958069,0.150705973300611,0.14542154334489538,0.0
plasma,0.150705973300611,0.1618578992654394,0.156182432575467,0.0
plasma,0.1618578992654394,0.17383504436393116,0.1677396050414462,0.0
plasma,0.17383504436393116,0.18669847308133403,0.180151984032294,0.0
plasma,0.18669847308133403,0.20051376854674022,0.19348285303731805,0.0
plasma,0.20051376854674022,0.21535136690325415,0.20780017839131715,0.0
plasma,0.21535136690325415,0.23128691642085225,0.22317695579532676,0.0
plasma,0.23128691642085225,0.24840166318283977,0.2396915824791729,0.0
plasma,0.24840166318283977,0.266782865312298,0.25742825690327464,0.0
plasma,0.266782865312298,0.28652423785041947,0.27647740803754167,0.0
plasma,0.28652423785041947,0.30772643055490617,0.2969361564060102,0.0
plasma,0.30772643055490617,0.330497541054448,0.31890880924781434,0.0
plasma,0.330497541054448,0.354953665975557,0.34250739231903227,0.0
plasma,0.354953665975557,0.38121949285162954,0.3678522210467521,0.0
plasma,0.38121949285162954,0.4094289358320399,0.39507251394734183,0.0
plasma,0.4094289358320399,0.43972581843237185,0.4243070514363847,0.0
plasma,0.43972581843237185,0.4722646068067377,0.4557048833891678,0.0
plasma,0.4722646068067377,0.5072111972807081,0.4894260890591635,0.0
plasma,0.5072111972807081,0.5447437621600292,0.5256425932288837,0.0
plasma,0.5447437621600292,0.5850536581274117,0.564539042754187,0.0
plasma,0.5850536581274117,0.6283464018587746,0.6063137479710259,0.0
plasma,0.6283464018587746,0.6748427178330463,0.651179693764318,0.0
plasma,0.6748427178330463,0.7247796636776954,0.6993656254537945,0.0
plasma,0.7247796636776954,0.778411838787467,0.7511172150331243,0.0
plasma,0.778411838787467,0.8360126823783735,0.806698313708286,0.0
plasma,0.8360126823783735,0.8978758675949571,0.8663922971211536,0.0
plasma,0.8978758675949571,0.9643167987785686,0.9305035101168071,0.0
plasma,0.9643167987785686,1.035674219530353,0.9993588184205923,0.0
plasma,1.035674219530353,1.112311939767532,1.0733092751360307,0.0
plasma,1.112311939767532,1.1946206905782204,1.1527319105600786,0.0
plasma,1.1946206905782204,1.283020116331616,1.2380316544409613,0.0
plasma,1.283020116331616,1.3779609142001619,1.3296434004790576,0.0
plasma,1.3779609142001619,1.4799271320018637,1.4280342235965187,0.0
plasma,1.4799271320018637,1.589438636078116,1.5337057612801877,0.0
plasma,1.589438636078116,1.7070537617893224,1.6471967711389062,0.0
plasma,1.7070537617893224,1.8333721601416144,1.7690858777146912,0.0
plasma,1.8333721601416144,1.9690378550579952,1.8999945225521804,0.0
plasma,1.9690378550579952,2.114742526881128,2.0405901325670333,0.0
plasma,2.114742526881128,2.271229038848448,2.191589522866945,0.0
plasma,2.271229038848448,2.439295224519031,2.3537625513742815,0.0
plasma,2.439295224519031,2.6197979554621127,2.5279360438831224,0.0
plasma,2.6197979554621127,2.8136575099460357,2.7149980095622985,0.0
plasma,2.8136575099460357,3.021862264900991,2.9159021683968085,0.0
plasma,3.021862264900991,3.2454737350771907,3.131672813650404,0.0
plasma,3.2454737350771907,3.4856319850901607,3.3634100341402156,0.0
plasma,3.4856319850901607,3.743561441946042,3.612295322948744,0.0
plasma,3.743561441946042,4.02057713768157,3.8795976011687747,0.0
plasma,4.02057713768157,4.318091413946322,4.166679687392788,0.0
plasma,4.318091413946322,4.637621122709999,4.47500524593102,0.0
plasma,4.637621122709999,4.9807953598069235,4.806146249183075,0.0
plasma,4.9807953598069235,5.349363770746629,5.161790992209397,0.0
plasma,5.349363770746629,5.745205471137015,5.5437527003642275,0.0
plasma,5.745205471137015,6.170338627200098,5.953978773875337,0.0
plasma,6.170338627200098,6.626930745225832,6.394560716503276,0.0
plasma,6.626930745225832,7.117309722423974,6.867744798900594,0.0
plasma,7.117309722423974,7.6439757155157295,7.375943511037273,0.0
plasma,7.6439757155157295,8.209613887576376,7.921747862081606,0.0
plasma,8.209613887576376,8.817108098117453,8.507940590446502,0.0
plasma,8.817108098117453,9.469555606206347,9.137510351351484,0.0
plasma,9.469555606206347,10.17028286158589,9.813666954234538,0.0
plasma,10.17028286158589,10.922862464303654,10.539857727700467,0.0
plasma,10.922862464303654,11.731131379318347,11.319785095441128,0.0
plasma,11.731131379318347,12.599210498948729,12.157425452736883,0.0
plasma,12.599210498948729,13.531525652902856,13.05704943977956,0.0
plasma,13.531525652902856,14.532830173005364,14.023243715178836,0.0
plasma,14.532830173005364,15.608229127667261,15.0609343406624,0.0
plasma,15.608229127667261,16.76320534965566,16.175411896194888,0.0
plasma,16.76320534965566,18.00364738986387,17.372358453562953,0.0
plasma,18.00364738986387,19.335879539601926,18.65787654594907,0.0
plasma,19.335879539601926,20.766694074473502,20.03852028119304,0.0
plasma,20.766694074473502,22.303385884232256,21.52132875736956,0.0
plasma,22.303385884232256,23.953789665174828,23.113861951048523,0.0
